filename,salt,tau,rna,glycerol,obj, reg,time,Sample,Step #
untitled0,0,100,300,0.19,40,1,10,1,1
untitled1,0,100,300,0.19,40,2,10,1,1
untitled2,0,100,300,0.19,40,3,10,1,1
untitled3,0,100,300,0.19,40,1,10,1,2
untitled4,0,100,300,0.19,40,2,10,1,2
untitled5,0,100,300,0.19,40,3,10,1,2
untitled6,0,100,300,0.19,40,1,10,1,3
untitled7,0,100,300,0.19,40,2,10,1,3
untitled8,0,100,300,0.19,40,3,10,1,3
untitled9,0,100,300,0.19,40,1,20,1,1
untitled10,0,100,300,0.19,40,2,20,1,1
untitled11,0,100,300,0.19,40,3,20,1,1
untitled12,0,100,300,0.19,40,1,20,1,2
untitled13,0,100,300,0.19,40,2,20,1,2
untitled14,0,100,300,0.19,40,3,20,1,2
untitled15,0,100,300,0.19,40,1,20,1,3
untitled16,0,100,300,0.19,40,2,20,1,3
untitled17,0,100,300,0.19,40,3,20,1,3
untitled18,0.1,100,300,0.19,40,1,5,3,1
untitled19,0.1,100,300,0.19,40,2,5,3,1
untitled20,0.1,100,300,0.19,40,3,5,3,1
untitled21,0.1,100,300,0.19,40,1,5,3,2
untitled22,0.1,100,300,0.19,40,2,5,3,2
untitled23,0.1,100,300,0.19,40,3,5,3,2
untitled24,0.1,100,300,0.19,40,1,5,3,3
untitled25,0.1,100,300,0.19,40,2,5,3,3
untitled26,0.1,100,300,0.19,40,3,5,3,3
untitled27,0.1,100,300,0.19,40,1,10,3,1
untitled28,0.1,100,300,0.19,40,2,10,3,1
untitled29,0.1,100,300,0.19,40,3,10,3,1
untitled30,0.1,100,300,0.19,40,1,10,3,2
untitled31,0.1,100,300,0.19,40,2,10,3,2
untitled32,0.1,100,300,0.19,40,3,10,3,2
untitled34,0.1,100,300,0.19,40,1,10,3,3
untitled35,0.1,100,300,0.19,40,2,10,3,3
untitled36,0.1,100,300,0.19,40,3,10,3,3
untitled37,1,100,300,0.19,40,1,5,4,1
untitled38,1,100,300,0.19,40,2,5,4,1
untitled39,1,100,300,0.19,40,3,5,4,1
untitled40,1,100,300,0.19,40,1,5,4,2
untitled41,1,100,300,0.19,40,2,5,4,2
untitled42,1,100,300,0.19,40,3,5,4,2
untitled43,1,100,300,0.19,40,1,5,4,3
untitled44,1,100,300,0.19,40,2,5,4,3
untitled45,1,100,300,0.19,40,3,5,4,3
untitled46,1,100,300,0.19,40,1,5,4,4
untitled47,1,100,300,0.19,40,2,5,4,4
untitled48,1,100,300,0.19,40,3,5,4,4
untitled49,1,100,300,0.19,40,1,10,4,1
untitled50,1,100,300,0.19,40,2,10,4,1
untitled51,1,100,300,0.19,40,3,10,4,1
untitled52,1,100,300,0.19,40,1,10,4,2
untitled53,1,100,300,0.19,40,2,10,4,2
untitled54,1,100,300,0.19,40,3,10,4,2
untitled55,1,100,300,0.19,40,4,10,4,2
untitled56,1,100,300,0.19,40,1,10,4,3
untitled57,1,100,300,0.19,40,2,10,4,3
untitled58,1,100,300,0.19,40,3,10,4,3
untitled59,1,100,300,0.19,40,4,10,4,3
untitled60,1,100,300,0.19,40,1,10,4,4
untitled61,1,100,300,0.19,40,2,10,4,4
untitled62,1,100,300,0.19,40,3,10,4,4
untitled63,1,100,300,0.19,40,4,10,4,4
untitled64,10,100,300,0.19,40,1,5,5,1
untitled65,10,100,300,0.19,40,2,5,5,1
untitled66,10,100,300,0.19,40,3,5,5,1
untitled67,10,100,300,0.19,40,4,5,5,1
untitled68,10,100,300,0.19,40,1,5,5,2
untitled69,10,100,300,0.19,40,2,5,5,2
untitled70,10,100,300,0.19,40,3,5,5,2
untitled71,10,100,300,0.19,40,4,5,5,2
untitled72,10,100,300,0.19,40,1,5,5,3
untitled73,10,100,300,0.19,40,2,5,5,3
untitled74,10,100,300,0.19,40,3,5,5,3
untitled75,10,100,300,0.19,40,4,5,5,3
untitled76,10,100,300,0.19,40,1,5,5,4
untitled77,10,100,300,0.19,40,2,5,5,4
untitled78,10,100,300,0.19,40,3,5,5,4
untitled79,10,100,300,0.19,40,4,5,5,4
untitled80,10,100,300,0.19,40,1,10,5,1
untitled81,10,100,300,0.19,40,2,10,5,1
untitled82,10,100,300,0.19,40,3,10,5,1
untitled83,10,100,300,0.19,40,4,10,5,1
untitled84,10,100,300,0.19,40,1,10,5,2
untitled85,10,100,300,0.19,40,2,10,5,2
untitled86,10,100,300,0.19,40,3,10,5,2
untitled87,10,100,300,0.19,40,4,10,5,2
untitled88,10,100,300,0.19,40,1,10,5,3
untitled89,10,100,300,0.19,40,2,10,5,3
untitled90,10,100,300,0.19,40,3,10,5,3
untitled91,10,100,300,0.19,40,4,10,5,3
untitled92,10,100,300,0.19,40,1,10,5,4
untitled93,10,100,300,0.19,40,2,10,5,4
untitled94,10,100,300,0.19,40,3,10,5,4
untitled95,10,100,300,0.19,40,4,10,5,4
